Method ,Name                ,Error                                                                             ,Occurrences
GET    ,/?p=1               ,RemoteDisconnected('Remote end closed connection without response')               ,      12111
GET    ,/2024/05/10/teste/  ,HTTPError('500 Server Error: Internal Server Error for url: /2024/05/10/teste/')  ,       4777
GET    ,/2024/05/11/teste3/ ,HTTPError('500 Server Error: Internal Server Error for url: /2024/05/11/teste3/') ,       3817
GET    ,/2024/05/11/teste2/ ,HTTPError('500 Server Error: Internal Server Error for url: /2024/05/11/teste2/') ,       3974
GET    ,/?p=1               ,HTTPError('500 Server Error: Internal Server Error for url: /?p=1')               ,       2402
GET    ,/2024/05/10/teste/  ,"ConnectionResetError(104, 'Connection reset by peer')"                           ,       2254
GET    ,/2024/05/11/teste3/ ,RemoteDisconnected('Remote end closed connection without response')               ,      24916
GET    ,/2024/05/11/teste2/ ,RemoteDisconnected('Remote end closed connection without response')               ,      24896
GET    ,/?p=1               ,"ConnectionResetError(104, 'Connection reset by peer')"                           ,       1144
GET    ,/2024/05/11/teste3/ ,"ConnectionResetError(104, 'Connection reset by peer')"                           ,       2140
GET    ,/2024/05/11/teste2/ ,"ConnectionResetError(104, 'Connection reset by peer')"                           ,       2212
GET    ,/2024/05/10/teste/  ,RemoteDisconnected('Remote end closed connection without response')               ,      23930
